#Data tag : 24v2 , Norm tag: composite
#+--------------+-------------------+------+------+----------------+---------------+
#  run:fill       time                nls    ncms   delivered(/fb)   recorded(/fb)  
#+--------------+-------------------+------+------+----------------+---------------+
  397383:11102   09/24/25 02:18:07   898    898    0.457263605      0.414220777    
  397384:11102   09/24/25 08:12:02   501    501    0.255309080      0.236339380    
  397411:11105   09/24/25 17:56:09   23     23     0.003953325      0.002879352    
  397412:11105   09/24/25 18:09:08   5      5      0.001825682      0.000256243    
  397413:11105   09/24/25 18:13:04   15     15     0.005681745      0.003722475    
  397414:11105   09/24/25 18:20:46   1842   1842   0.880647402      0.820562962    
  397432:11106   09/25/25 08:25:05   749    749    0.378327116      0.352429786    
  397448:11107   09/25/25 19:43:26   90     90     0.045802314      0.036376191    
  397449:11107   09/25/25 20:21:22   273    273    0.139081870      0.128984618    
  397450:11107   09/25/25 22:10:49   15     15     0.007654237      0.004908028    
  397452:11107   09/25/25 22:23:37   285    285    0.145218826      0.133852144    
  397453:11107   09/26/25 00:16:42   56     56     0.028591122      0.024891566    
  397456:11108   09/26/25 02:38:13   534    534    0.271403584      0.245260947    
  397457:11108   09/26/25 06:09:26   199    199    0.102117257      0.091726609    
  397489:11109   09/26/25 11:03:17   256    256    0.116780834      0.109840450    
  397490:11109   09/26/25 12:47:27   179    179    0.091274413      0.079693700    
  397491:11109   09/26/25 14:00:04   584    584    0.297800688      0.273151028    
